panel_size,k,selected_genes,top_k_constructible,top_k_fraction,bot_k_constructible,bot_k_fraction,design_space,total_doubles,sameith_doubles,new_doubles_needed,overlap_betaxanthin,overlap_expanded_inference,overlap_metabolic,overlap_kemmeren,overlap_ohya,overlap_sameith
12,25,"YDL036C, YDR096W, YDR363W-A, YGL240W, YGR067C, YGR202C, YGR288W, YJR149W, YJR153W, YLR013W, YPL038W, YPL046C",12,0.48,0,0.0,220,66,10,56,0,12,3,5,10,5
12,50,"YCR107W, YDL036C, YDR096W, YEL038W, YGL240W, YGR288W, YHR094C, YJR149W, YJR153W, YLR013W, YMR182C, YPL046C",18,0.36,0,0.0,220,66,6,60,0,12,5,4,10,4
12,100,"YDL036C, YDR363W-A, YEL038W, YGL240W, YGR134W, YGR202C, YGR288W, YIL124W, YJR149W, YJR153W, YMR182C, YPL046C",27,0.27,0,0.0,220,66,1,65,0,12,5,5,11,2
12,200,"YAR035W, YDL036C, YDR213W, YDR363W-A, YGL240W, YGR288W, YIL124W, YJR149W, YJR153W, YMR182C, YOL016C, YPL046C",37,0.185,0,0.0,220,66,3,63,0,12,5,5,9,3
24,25,"YAR035W, YCR107W, YDL036C, YDL170W, YDR043C, YDR096W, YDR297W, YDR363W-A, YEL038W, YFR053C, YGL240W, YGR067C, YGR202C, YGR288W, YHR001W-A, YHR094C, YIL124W, YJR149W, YJR153W, YLR013W, YMR037C, YMR182C, YPL038W, YPL046C",19,0.76,3,0.12,2024,276,36,240,0,24,11,7,18,9
24,50,"YBR281C, YCL050C, YCR107W, YDL036C, YDR043C, YDR096W, YDR213W, YDR363W-A, YEL038W, YER024W, YGL240W, YGR071C, YGR106C, YGR134W, YGR202C, YGR256W, YGR288W, YHR094C, YJR149W, YJR153W, YLR013W, YMR182C, YPL038W, YPL046C",34,0.68,0,0.0,2024,276,21,255,0,24,11,8,19,7
24,100,"YAR035W, YCR073C, YCR107W, YDL036C, YDR043C, YDR096W, YDR213W, YDR363W-A, YEL038W, YFR053C, YGL240W, YGR044C, YGR134W, YGR202C, YGR288W, YHR003C, YHR094C, YIL124W, YJR149W, YJR153W, YLR013W, YMR182C, YOR061W, YPL046C",52,0.52,0,0.0,2024,276,15,261,0,24,11,10,20,6
24,200,"YAR035W, YBR297W, YCR107W, YDL036C, YDR043C, YDR213W, YDR363W-A, YEL038W, YER170W, YFR053C, YGL240W, YGR044C, YGR134W, YGR194C, YGR202C, YGR288W, YHR094C, YIL124W, YJR149W, YJR153W, YLR013W, YMR182C, YOL016C, YPL046C",87,0.435,0,0.0,2024,276,15,261,0,24,12,8,19,6
24,500,"YAR035W, YBR297W, YCR107W, YDL036C, YDR213W, YDR363W-A, YDR451C, YEL038W, YER170W, YER183C, YGL240W, YGR044C, YGR194C, YGR202C, YGR288W, YIL124W, YJR149W, YJR153W, YLR013W, YLR174W, YMR182C, YOL016C, YOR028C, YPL046C",144,0.288,0,0.0,2024,276,21,255,0,24,12,7,18,7
24,1000,"YAR035W, YBR297W, YCR107W, YDL036C, YDR213W, YDR363W-A, YDR451C, YEL038W, YER170W, YER183C, YGL240W, YGR044C, YGR123C, YGR194C, YGR202C, YGR288W, YIL124W, YJR149W, YJR153W, YLR174W, YMR182C, YNL068C, YOL016C, YPL046C",216,0.216,0,0.0,2024,276,15,261,0,24,12,7,19,6
24,2000,"YAR035W, YBR297W, YCR073C, YCR107W, YDL036C, YDR213W, YDR363W-A, YDR451C, YEL038W, YER170W, YER183C, YGL240W, YGR123C, YGR194C, YGR202C, YGR288W, YHR207C, YIL124W, YJR149W, YJR153W, YMR182C, YNL068C, YOL016C, YPL046C",301,0.1505,0,0.0,2024,276,15,261,0,24,12,7,19,6
