gene,kemmeren_technical_std,sameith_log2_ratio_std
YBL054W,104.79605339897114,0.08585060904153757
YBR066C,23.86343965148356,0.07517499678167602
YBR089C-A,39.42120305115002,0.10140473449787098
YCR033W,138.8347596317291,0.14810233330631084
YCR065W,231.80586632891755,0.07169203472281463
YDL020C,21.378666422394105,0.1497673437152356
YDL106C,192.15061093319477,0.10512865766019902
YDR034C,22.46548954507779,0.11045107863328085
YDR043C,153.22155420175062,0.12561379634397837
YDR096W,375.81947602605703,0.1168968424560946
YDR174W,50.75541764678919,0.1362078925792811
YDR213W,10.877423614992647,0.2084122869914144
YDR259C,142.00825486569428,0.050167836182425624
YDR266C,13.898890891002782,0.12626383682570247
YDR310C,115.25062715881417,0.11652581444154175
YER028C,96.88070009036886,0.11250721530957013
YER040W,267.42142068372164,0.14731995746722862
YER088C,32.36569158847067,0.09677666714612249
YER161C,29.839906166072318,0.042952907837174654
YER169W,69.05604825067829,0.10961829586191801
YFL021W,119.71883490913199,0.12903858188775696
YFL052W,86.71179747012515,0.07155806919706945
YGL035C,52.76147958501544,0.16122441088386735
YGL209W,16.36740066412501,0.0415503909664946
YGR288W,324.208459174032,0.13335080099745378
YHL027W,46.03406566880664,0.09615578591449439
YHR178W,168.10544483894628,0.16302316700122851
YIL036W,63.783860090151336,0.2530309052470036
YIL119C,165.70481731681792,0.15191284835624166
YIL130W,97.03555647544876,0.10424552693965639
YIL131C,28.242551947371897,0.11815151748761138
YIR017C,88.87483711377486,0.03826849161305364
YIR023W,75.17959297575385,0.10222541973238658
YJL056C,15.431191285834013,0.14386513436238835
YJL089W,36.70025615714422,0.10605773226869795
YJL110C,22.65145862852986,0.05841878002945021
YJR060W,57.41424220522293,0.14564623208475355
YJR127C,64.4471262509043,0.048945458113268815
YKL062W,67.68991794942579,0.09988936873363952
YKR034W,51.41231984651156,0.08766778257571024
YLR013W,226.1610328947054,0.11157413823617539
YLR014C,36.64793025533637,0.056461062930708676
YLR375W,15.53160044876254,0.10722621761984664
YML007W,8.360830580749747,0.08694496831239294
YML027W,121.8359126120045,0.09459260330753928
YML081W,155.3400461181855,0.11727921617037552
YMR019W,365.441269798582,0.05481687385347793
YMR037C,27.572214718807043,0.08875341079111401
YNL068C,248.35782186293227,0.11794651601161192
YOR028C,53.878708299290174,0.09928015997344529
YOR162C,101.84176126717367,0.09577732818402247
YOR172W,35.31220554567499,0.08032039862496057
YOR304W,91.54911496022228,0.13340107987808533
YOR344C,25.793841164122846,0.09073940495533558
YPL021W,29.562720307847172,0.0954532895519887
YPL038W,374.5615330623261,0.19604268601827984
YPL089C,136.75940122894661,0.08352090518262427
YPL177C,128.91263727811943,0.05781791702134633
YPR008W,102.65069142485112,0.12774451835780448
YPR009W,34.1348727549994,0.03719372041259297
YPR065W,29.408571029548455,0.08230738275284545
YPR196W,27.0892607872566,0.1057016658172214
