strain,orf,common_name,costanzo_smf,costanzo_sd,kuzmin_smf,kuzmin_sd
YEH1,YLL012W,YEH1,0.9925,0.0804,,
YER079W,YER079W,,1.0387,0.1173,,
YOS9,YDR057W,YOS9,1.0435,0.0535,,
MMS2,YGL087C,MMS2,0.996,0.094,0.9852,
YPL081W,YPL081W,RPS9A,0.955,0.1553,,
ELC1,YPL046C,ELC1,1.0433,0.0643,0.9829,
YKL033W-A,YKL033W-A,,1.0327,0.1008,,
YLR312C-B,YLR312C-B,,1.0845,0.0441,,
LCL1,YPL056C,LCL1,0.9802,0.0815,,
SPH1,YLR313C,SPH1,0.9843,0.0271,,
YJR060W,YJR060W,CBF1,0.59,0.1138,0.7523,
COS111,YBR203W,COS111,1.037,0.0458,1.0411,
