cellprob,flow,mean_strain_sd,colonies_used,occupied,mean_size
-4.0,0.4,0.16289208006417188,274,281,2701.8132687313955
-4.0,0.6,0.162982829251584,278,284,2705.3520138374106
-3.0,0.4,0.1659201220281864,275,281,2600.807733231997
-3.0,0.6,0.1665742642917988,280,285,2602.001754385965
-2.0,0.4,0.1674599819785596,277,282,2497.674718045113
-2.0,0.6,0.16831094422656456,279,285,2497.440350877193
-1.0,0.6,0.17265893613544525,280,284,2400.6332530269337
-1.0,0.4,0.17354712590235016,278,282,2404.073997493734
0.0,0.4,0.17631938531719527,276,281,2320.263848248781
0.0,0.6,0.17779158825426278,277,282,2316.8375966798717
