group,op,n_joined,n_blanks,blanks_empty,plated_grew,n_plated,agreement,strain_H
P1_t44,identity,384,6,6,284,378,0.7552083333333334,58.79899151352549
P1_t44,flip_h,384,6,2,280,378,0.734375,16.97930058688496
P1_t44,rot180,384,6,2,280,378,0.734375,14.614753318768521
P1_t44,flip_v,384,6,6,284,378,0.7552083333333334,14.235904615224626
P2_t44,identity,384,6,6,359,378,0.9505208333333334,82.05718857895545
P2_t44,flip_h,384,6,0,353,378,0.9192708333333334,14.582381483004156
P2_t44,flip_v,384,6,6,359,378,0.9505208333333334,10.963327228327216
P2_t44,rot180,384,6,0,353,378,0.9192708333333334,7.140748277896819
P1_t50,identity,384,6,6,289,378,0.7682291666666666,71.41034795415692
P1_t50,rot180,384,6,2,285,378,0.7473958333333334,14.731924984229046
P1_t50,flip_h,384,6,2,285,378,0.7473958333333334,13.577193990267963
P1_t50,flip_v,384,6,6,289,378,0.7682291666666666,6.138594462005017
P2_t50,identity,384,6,6,361,378,0.9557291666666666,90.38606496523403
P2_t50,flip_h,384,6,0,355,378,0.9244791666666666,15.636964369266707
P2_t50,rot180,384,6,0,355,378,0.9244791666666666,11.617222051591853
P2_t50,flip_v,384,6,6,361,378,0.9557291666666666,9.017033765585438
P1_t72,identity,384,6,6,289,378,0.7682291666666666,61.12309112255329
P1_t72,flip_v,384,6,6,289,378,0.7682291666666666,14.774779080282359
P1_t72,rot180,384,6,2,285,378,0.7473958333333334,14.25584124500948
P1_t72,flip_h,384,6,2,285,378,0.7473958333333334,12.223488397826683
P2_t72,identity,384,6,6,362,378,0.9583333333333334,63.952160258872254
P2_t72,flip_h,384,6,0,356,378,0.9270833333333334,13.465917289601975
P2_t72,rot180,384,6,0,356,378,0.9270833333333334,11.212606197645528
P2_t72,flip_v,384,6,6,362,378,0.9583333333333334,6.737158853498613
