strain,volume_2p5_minus_5_t44,volume_2p5_minus_5_t50,volume_2p5_minus_5_t72,time_t50_minus_t44_P1,time_t72_minus_t50_P1,time_t50_minus_t44_P2,time_t72_minus_t50_P2
BY4741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COS111,0.14685680100038823,0.17738551827145888,0.0891391657730457,0.010384519075733456,-0.022701570964130058,-0.020144198195337193,0.06554478153428311
ELC1,-0.010736680579253144,0.08937952248584669,0.04570131760688467,0.07829608837636048,0.006067537353459551,-0.021820114688739345,0.049745742232421564
LCL1,-0.022491385218633364,0.11221264535464326,0.08090379682929905,0.11312340806159726,0.04283248927552963,-0.02158062251167936,0.07414133780087384
MMS2,-0.02450177014360244,0.0684102285784185,0.04980497878517043,0.03490861955762914,0.022764493227798277,-0.0580033791643918,0.041369743021046346
SPH1,-0.09000319822719094,0.008082567459638645,-0.005903828524975618,0.04288886788485924,0.08232121423419436,-0.055196897801970346,0.09630761021880863
YEH1,-0.17642509637408588,-0.042701154389011786,-0.1156119959452695,0.08064933953017239,0.01859599874704876,-0.0530746024549017,0.09150684030330647
YER079W,0.04159499014516932,0.1064890918029694,0.08730775641955846,0.03365066151249907,0.013066383697741157,-0.031243440145301005,0.03224771908115209
YJR060W,-0.21457394348351166,-0.11083907794741099,-0.0626058285801866,0.0646702847348094,0.05845867370013036,-0.03906458080129127,0.010225424332905964
YKL033W-A,-0.11530478929869747,-0.0035999738563973205,0.007576862299998877,0.07989037528729082,0.040790879770511546,-0.03181444015500934,0.02961404361411535
YLR312C-B,0.0344094970392379,0.14222847420696327,0.08317991186688822,0.031053628534575717,-0.027255994941651762,-0.07676534863314965,0.03179256739842329
YOS9,-0.09587905819871878,0.038789891899079,0.013796635815964686,0.04858171432284042,-0.0014725044764108963,-0.08608723577495736,0.023520751606703416
YPL081W,0.03812973304655276,0.13530123480827372,0.07557139862064277,0.06340479290474654,0.04307657348409688,-0.033766708856974414,0.10280640967172783
